COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
allyl alcohol	8 day	High	675	13.9	40.5	60	20.6	34.3	2.6	170.2	194.3	11	1	0	5	82	11.4	18.7	303	570	79	86	140	0.12	0.05	205	14	0.4	140	3.3	101	10.7	7.5	5.8	3.1	1.1	60	33	218	2
allyl alcohol	8 day	High	659	13.9	40.1	60.8	21.1	34.8	3.1	155.9	130.3	23	1	0	5	71	12.6	21.3	333	621	58	36	116	0.1	0.05	205	11	0.4	141	3.6	103	10.4	7.4	5.4	3	1.3	267	120	178	1
allyl alcohol	8 day	High	724	14.9	44.1	60.9	20.6	33.9	4	77.2	251	26	1	0	7	63	15.3	26.4	333	1756	70	55	121	0.26	0.18	148	9	0.4	141	4	103	10.5	5.5	5.4	2.7	1	1529	449	339	4
allyl alcohol	15 day	High	721	14.4	41.6	57.7	19.9	34.5	4.1	181.6	119.9	20	1	0	3	76	12	18.8	248	931	71	70	141	0.13	0.06	223	18	0.5	142	3.1	103	10.6	6	6	3.5	1.4	96	51	438	2
allyl alcohol	15 day	High	666	13.2	38	57.1	19.8	34.7	4.5	145.7	133.2	17	1	0	3	79	11.7	18.6	207	753	71	134	157	0.13	0.08	190	14	0.4	141	3.9	103	10.4	6.5	5.4	3.2	1.5	64	37	126	1
allyl alcohol	15 day	High	719	13.3	39.4	54.8	18.5	33.8	5.1	245.4	269.7	28	0	0	4	67	12.9	19.2	293	675	64	36	122	0.12	0.07	205	14	0.4	140	3.4	101	10.3	6.6	5.9	3	1	83	46	201	1
allyl alcohol	15 day	High	708	14.4	42.5	60	20.3	33.8	6	127.1	120.8	25	1	0	5	68	12.4	19.9	241	617	61	68	134	0.12	0.05	208	14	0.4	140	3.4	99	10.8	7.6	5.9	3.6	1.6	54	34	116	1
allyl alcohol	15 day	High	676	13.2	38.5	57	19.5	34.2	7.5	263.3	262.8	34	1	0	4	61	13	19.3	264	816	84	40	150	0.17	0.09	187	11	0.3	142	3.5	103	11.3	7	6.4	3.5	1.2	131	46	293	2
allyl alcohol	29 day	High	811	15.1	43.8	54	18.7	34.5	2.7	118.8	126.4	16	1	0	4	78	12	19.5	197	680	62	58	120	0.11	0.05	198	15	0.5	141	3	103	10.4	6.4	5.9	3.1	1.1	64	46	170	1
allyl alcohol	29 day	High	850	16	47.2	55.5	18.8	34	2.2	107	92.5	16	1	0	3	79	12.3	20.1	215	688	63	65	129	0.14	0.06	223	16	0.5	140	3.5	104	10.3	4.7	5.8	3.4	1.4	80	46	173	1
allyl alcohol	29 day	High	794	15.5	44	55.4	19.6	35.3	2.9	95.3	111.9	26	1	0	2	70	12.2	21.4	207	834	54	157	139	0.15	0.09	239	19	0.4	140	3.4	103	10.4	6.5	6.3	3.6	1.3	67	36	204	1
allyl alcohol	29 day	High	817	14.7	42.8	52.4	18	34.4	3	102.1	103.4	16	2	0	2	79	11.6	19.6	237	478	67	87	137	0.13	0.07	215	17	0.4	140	3.8	101	11.1	5.6	6.1	3.2	1.1	57	40	142	1
allyl alcohol	29 day	High	794	14.7	42.8	54	18.6	34.4	3.1	113.6	111.4	12	1	0	3	84	12.2	21.8	237	399	82	126	153	0.13	0.07	228	17	0.5	137	3.9	102	10.5	5	6.1	3.3	1.2	52	28	252	1
aspirin	4 day	Low	585	13	38.2	65.3	22.2	33.9	6.3	102.6	141.6	6	1	0	1	90	11.8	18.9	218	852	79	116	162	0.15	0.1	228	16	0.4	139	4.2	101	10.5	7.1	5.7	3.6	1.7	142	85	654	0
aspirin	4 day	Low	672	14	40.6	60.4	20.8	34.4	5.3	121	104.8	13	1	0	2	83	12.2	18.2	224	735	81	144	159	0.15	0.1	189	14	0.3	140	4.1	103	10.7	6.5	5.6	3.4	1.5	66	31	265	1
aspirin	4 day	Low	653	13.8	40.7	62.3	21.2	34	5.7	101.5	103.7	15	0	0	3	79	12.7	19.9	221	1059	63	199	153	0.15	0.09	217	14	0.4	141	3.2	102	10.6	6.8	5.8	3.4	1.4	87	44	222	0
aspirin	4 day	Low	642	13.8	41.2	64.2	21.5	33.5	5.5	113.9	84.6	16	1	0	4	77	13.3	17.9	207	1008	63	44	121	0.13	0.08	197	12	0.4	140	3.8	101	10.7	6.9	5.6	3.3	1.4	76	35	199	1
aspirin	4 day	Low	654	13.9	40.9	62.5	21.2	33.9	6.3	126.9	80.8	18	1	0	4	76	12.3	22	200	798	69	75	136	0.13	0.08	195	13	0.3	142	3.8	104	11.1	6.5	5.8	3.6	1.6	61	30	236	1
aspirin	8 day	Low	700	13.9	40.9	58.4	19.8	33.9	4.1	114.8	100.8	13	1	0	2	84	12	20	205	762	64	122	133	0.13	0.09	232	15	0.4	140	4.2	102	10.6	7	5.6	3.2	1.3	46	22	143	0
aspirin	8 day	Low	630	13.1	38	60.4	20.8	34.5	4.8	120.4	86.2	13	1	0	2	84	12.5	21.3	197	874	82	119	152	0.15	0.1	208	16	0.4	140	4.2	103	10.4	7.8	5.4	3.1	1.3	61	27	207	0
aspirin	8 day	Low	637	13.4	39.5	62.1	21	33.9	5.8	122.5	142.1	8	1	0	2	89	12.4	19.9	218	983	58	104	116	0.14	0.1	243	15	0.4	140	3.9	102	10.4	7.9	5.6	3.1	1.2	67	32	211	1
aspirin	8 day	Low	641	13.8	41.7	65	21.5	33.1	6.1	117	161.4	17	1	0	3	78	13.2	31.9	207	677	92	87	164	0.13	0.09	206	17	0.4	142	4.2	104	10.9	6.4	5.7	3.3	1.4	73	30	301	1
aspirin	8 day	Low	644	13.4	39.5	61.3	20.8	33.9	5.7	129.8	110.4	10	1	0	2	86	12.8	19.6	202	1212	71	105	138	0.14	0.1	206	17	0.3	140	4.1	102	10.8	7.5	5.4	3.2	1.5	64	28	205	1
aspirin	15 day	Low	677	14.7	42.3	62.5	21.7	34.8	3.6	129.3	128.7	19	1	0	2	77	12	21.6	212	761	49	90	108	0.16	0.1	196	17	0.4	142	4.5	104	10.5	6.1	5.8	3.5	1.5	65	30	225	0
aspirin	15 day	Low	705	14.4	41	58.2	20.4	35	3.8	123.3	189.1	21	1	0	3	73	12.5	19.5	218	950	67	161	152	0.15	0.1	181	14	0.5	141	4.3	104	10.6	6.6	5.6	3.2	1.3	89	54	270	1
aspirin	15 day	Low	721	15	43.9	60.9	20.9	34.2	3.3	119.4	103.1	13	1	0	1	84	12.2	19.3	221	914	58	192	139	0.17	0.12	205	18	0.5	140	4.8	102	10.3	7.9	5.6	3.3	1.4	65	34	252	1
aspirin	15 day	Low	723	15.1	42.7	59	20.8	35.3	3.5	121.9	116	18	2	0	2	77	11.9	18.2	237	769	82	126	166	0.13	0.09	186	16	0.4	140	4.1	102	11.1	7	6	3.6	1.5	79	38	249	1
aspirin	15 day	Low	711	14.5	41.5	58.4	20.5	35	3.9	148.7	153.8	20	1	0	2	75	11.7	20.8	215	1118	103	99	200	0.14	0.1	181	15	0.4	141	3.5	102	10.6	7.7	5.9	3.7	1.7	82	47	224	0
aspirin	29 day	Low	744	14.2	42.7	57.4	19.1	33.3	2.3	95.5	103.4	11	1	0	2	84	12.8	19.9	197	1010	58	79	130	0.16	0.09	285	16	0.6	140	4.4	100	10.3	7.6	6	3.4	1.3	79	39	263	0
aspirin	29 day	Low	798	15.5	45	56.4	19.4	34.4	2.3	112.5	90.6	10	1	0	3	83	12.4	21.5	241	857	68	142	139	0.17	0.12	211	16	0.5	142	3.6	103	10.3	5.8	6	3.4	1.3	66	28	116	1
aspirin	29 day	Low	810	15.2	43.8	54	18.8	34.7	1.7	107.9	106.1	15	3	0	2	79	12.1	19.4	205	659	75	107	148	0.16	0.09	218	19	0.5	142	3.5	103	10.4	6.9	6.1	3.6	1.4	72	36	225	1
aspirin	29 day	Low	825	15.6	45.1	54.7	18.9	34.5	2.1	100	127.6	22	1	0	2	74	12.2	18.7	207	531	72	178	149	0.15	0.08	224	15	0.4	141	3.9	103	10.3	6.7	6	3.4	1.3	56	29	151	1
aspirin	29 day	Low	828	16.3	46.2	55.9	19.7	35.2	1.7	89.1	94.8	13	1	0	3	82	12.4	21.9	186	612	70	119	150	0.14	0.09	226	19	0.5	141	3.9	104	10.4	6.6	6.3	3.4	1.2	63	33	176	0
aspirin	4 day	Middle	669	13.4	39.2	58.5	20	34.1	6.2	119.6	81.4	14	1	0	3	82	12.5	19	212	804	74	175	166	0.15	0.11	202	13	0.4	141	3.6	100	10.7	7.2	5.6	3.5	1.7	69	32	160	1
aspirin	4 day	Middle	638	13.9	41.2	64.6	21.7	33.7	6.6	109	119.7	15	1	0	3	81	12.4	18.9	230	1016	61	123	140	0.13	0.08	212	11	0.4	142	3.6	104	10.7	6.8	5.8	3.5	1.5	76	42	263	1
aspirin	4 day	Middle	573	12.5	36.5	63.7	21.9	34.3	6.2	128.8	94.2	13	1	0	3	81	12.7	19	237	816	96	72	183	0.12	0.07	194	13	0.4	141	3.8	102	10.6	6.2	5.4	3.3	1.6	71	32	214	1
aspirin	4 day	Middle	650	13.5	39.6	60.8	20.8	34.1	4.8	106.5	136.4	14	1	0	2	82	12.1	18.4	230	1227	64	116	140	0.13	0.08	190	12	0.4	141	3.8	103	10.5	6.7	5.6	3.4	1.5	64	31	164	1
aspirin	4 day	Middle	606	13.7	40	65.9	22.7	34.4	5.9	116.8	109.5	16	1	0	3	78	11.9	19.6	230	760	74	102	150	0.11	0.05	185	12	0.3	140	3.9	103	10.7	8	5.6	3.2	1.3	62	30	250	1
aspirin	8 day	Middle	684	13.7	40.7	59.5	20	33.7	5.4	116.6	107.3	18	1	0	3	77	12.2	19.8	207	1023	81	220	184	0.2	0.15	212	17	0.5	141	4.6	103	9.9	8.2	5.5	3.3	1.5	77	47	221	0
aspirin	8 day	Middle	673	14.3	41.9	62.2	21.2	34.1	4	113.1	106.2	12	1	0	3	83	12.2	19.2	221	867	74	177	166	0.14	0.1	199	17	0.4	142	3.6	102	10.8	8.2	5.4	3.4	1.7	67	32	249	1
aspirin	8 day	Middle	685	14.3	41.6	60.7	20.9	34.4	3.8	113.1	103.7	16	1	0	2	80	12.4	18.6	227	968	57	140	141	0.14	0.09	222	18	0.4	141	3.6	102	10.4	8.2	5.5	3.3	1.5	73	37	187	0
aspirin	8 day	Middle	636	13.5	40.6	63.8	21.2	33.3	5.3	106.2	195.1	10	1	0	2	86	12.9	20.7	207	858	69	80	139	0.11	0.07	213	13	0.4	142	3.7	103	10.3	8.5	5.3	3	1.3	57	31	140	1
aspirin	8 day	Middle	677	14	40.7	60.1	20.7	34.4	4.9	146	85.7	10	1	0	2	86	12.1	18.1	218	793	78	150	162	0.12	0.06	212	15	0.5	139	4.3	102	10.5	9.3	5.3	3.1	1.4	60	28	314	1
aspirin	15 day	Middle	679	14	39	57.4	20.5	35.8	3.7	145.4	146.8	23	1	0	2	74	12.5	18.1	200	881	76	138	160	0.16	0.11	204	16	0.5	141	4	100	10.5	7.6	5.5	3.2	1.4	71	43	166	0
aspirin	15 day	Middle	682	13.9	39.8	58.4	20.4	34.9	4.2	114	261.7	11	3	0	2	84	12.8	20.6	197	796	84	151	173	0.17	0.12	183	17	0.5	142	4.5	102	10.3	8.4	5.3	3.3	1.7	100	43	291	1
aspirin	15 day	Middle	694	15.5	44	63.4	22.3	35.2	3.5	117.5	111.9	15	1	0	3	79	12.3	19.1	218	889	60	106	133	0.12	0.07	180	15	0.4	142	4.1	102	10.7	8.2	5.7	3.2	1.3	60	30	227	2
aspirin	15 day	Middle	746	15.5	44.3	59.4	20.8	35	3.5	121.8	130.7	21	2	0	4	72	12.1	20.3	197	734	57	214	153	0.14	0.09	199	13	0.4	142	3.5	103	10.3	7.9	5.7	3.3	1.4	68	29	344	0
aspirin	15 day	Middle	723	15.4	43.3	59.9	21.3	35.6	2.4	128	131.4	16	2	0	3	79	12.6	19.5	212	829	85	148	174	0.12	0.07	171	12	0.4	141	4.7	104	10.4	7.9	5.3	3.4	1.8	86	39	232	1
aspirin	29 day	Middle	782	15.5	44.4	56.8	19.8	34.9	2	100.1	119.7	8	1	0	2	89	12.8	21.5	190	611	80	174	159	0.19	0.13	297	17	0.6	141	4.1	102	10	7.7	5.6	3	1.2	75	32	214	1
aspirin	29 day	Middle	768	15.1	43.8	57.1	19.7	34.4	2.7	112.1	125.8	13	1	0	2	83	12.5	20.6	207	569	66	98	136	0.13	0.08	215	15	0.5	141	3.8	102	10	7.1	5.6	3.3	1.4	68	34	139	0
aspirin	29 day	Middle	847	15.5	45.3	53.6	18.3	34.2	1.7	102.3	93.8	24	2	0	3	69	12.5	22.6	207	670	55	210	143	0.17	0.11	186	17	0.5	144	3.5	103	10.3	7	6	3.7	1.6	71	36	215	1
aspirin	29 day	Middle	795	16	46.4	58.3	20.1	34.4	2.2	121.6	114	11	1	0	2	84	12.4	21.4	202	686	77	142	165	0.17	0.1	226	17	0.5	141	4	104	10.3	7.3	5.9	3.5	1.5	117	45	227	1
aspirin	29 day	Middle	754	15.1	43.3	57.5	20	34.9	2.6	107	89.9	17	2	0	3	76	12.4	20.5	221	672	69	120	146	0.16	0.1	222	15	0.5	144	3.7	103	10.4	7.2	5.9	3.4	1.4	76	32	170	0
aspirin	4 day	High	633	13.8	40.5	64	21.8	34.1	5.5	136.7	159.3	9	1	0	1	88	13.4	25	207	707	64	251	160	0.18	0.13	202	18	0.4	141	4.1	101	11.3	7.4	5.7	3.2	1.3	83	49	226	2
aspirin	4 day	High	618	13.4	39.3	63.6	21.6	34	4.4	122.1	88.5	12	1	0	2	84	16.2	31.3	207	853	63	176	132	0.16	0.11	195	16	0.4	141	3.8	102	11.1	6.2	5.2	3.1	1.5	79	47	223	1
aspirin	4 day	High	579	12.7	36.8	63.5	21.9	34.5	4.9	109	133	20	0	0	3	76	13.3	22.1	197	846	55	148	129	0.15	0.11	191	14	0.4	144	3.3	104	11.3	7.7	5.4	3.2	1.5	83	52	205	1
aspirin	4 day	High	641	13.8	39.9	62.3	21.6	34.6	5.5	132.4	150.2	14	0	0	2	82	14.8	26.5	241	1181	74	159	171	0.14	0.09	167	15	0.4	141	4	102	11.3	7.1	5.6	3.5	1.7	73	45	200	2
aspirin	4 day	High	679	13.6	40	58.9	20	34	3.4	110.6	100.1	19	0	0	2	77	13	19.7	210	814	55	201	144	0.16	0.11	185	11	0.4	144	3.4	106	10.9	7.3	5.6	3.6	1.8	94	42	313	1
aspirin	8 day	High	631	13.4	39.5	62.6	21.3	34	6.5	108.5	194.6	11	0	0	2	85	14.7	25.5	195	1425	53	119	121	0.16	0.11	224	16	0.5	141	4.4	103	10.5	6.5	5.1	3.4	2	91	59	166	1
aspirin	8 day	High	660	13.2	39.7	60.1	20	33.2	8.1	101.6	139.7	16	1	0	2	80	13.8	23.3	218	801	50	280	148	0.18	0.13	191	18	0.4	143	4.1	103	10.9	8.4	5.6	3.7	1.9	135	49	369	1
aspirin	8 day	High	633	13.1	39.5	62.5	20.7	33.2	8.3	115.4	215.5	14	1	0	2	82	12.8	22.3	205	932	82	163	179	0.15	0.09	224	18	0.5	142	4.4	103	11.5	8.2	5.4	3.4	1.7	117	48	236	1
aspirin	8 day	High	626	14.2	41.6	66.6	22.7	34	8.7	115.4	106.3	11	1	0	2	84	13.1	21.1	212	892	73	166	172	0.16	0.11	198	17	0.5	142	3.7	101	11.2	6.3	5.2	3.4	1.9	85	54	219	2
aspirin	8 day	High	597	12.8	37.8	63.3	21.5	34	7.9	115.8	139.4	18	1	0	3	77	13.4	20.9	221	976	76	184	173	0.12	0.08	200	15	0.4	142	3.7	102	11	7.8	5.1	2.9	1.3	84	48	251	1
aspirin	15 day	High	712	14.6	42.2	59.3	20.5	34.6	4.6	125.4	170.2	13	0	0	2	82	13.3	21.2	195	761	64	151	147	0.11	0.07	168	12	0.5	143	4.1	103	10.3	8.2	5.2	3.4	1.9	76	43	161	1
aspirin	15 day	High	688	14.6	42.4	61.6	21.2	34.4	3.9	109.6	125.8	16	1	0	1	81	13.2	23.8	212	936	61	313	184	0.17	0.13	194	22	0.5	142	4.6	101	10.9	6.5	5.6	3.3	1.4	127	55	394	0
aspirin	15 day	High	670	14.5	41.1	61.3	21.6	35.3	4.8	132.1	120.6	11	1	0	2	85	12.9	20.4	218	880	59	358	173	0.17	0.13	185	15	0.5	141	4.2	100	10.6	6.9	5.4	3.3	1.6	82	33	231	1
aspirin	15 day	High	660	14.4	41.1	62.3	21.8	35.1	4.8	121.3	177.5	24	2	0	4	69	12.2	25.5	207	1026	67	237	169	0.19	0.14	156	17	0.5	139	5.2	102	11	8.4	5.2	3.4	1.9	101	54	533	1
aspirin	15 day	High	669	14.3	40.9	61.2	21.3	34.9	5.6	141.2	140	18	1	0	4	76	13.3	19.4	218	752	77	194	180	0.13	0.09	176	16	0.5	141	4	101	11	8.2	5.4	3.2	1.5	78	46	241	1
aspirin	29 day	High	791	15.1	43.9	55.6	19.1	34.4	3.2	106.9	96.5	17	1	0	2	78	13.5	24.2	202	786	53	234	151	0.15	0.1	198	17	0.5	144	3.6	104	10	6.1	5.3	3.2	1.5	83	39	209	2
aspirin	29 day	High	686	14.7	43.4	63.3	21.4	33.9	3.8	98.5	82.3	24	1	0	3	71	13.8	22.6	193	710	57	165	135	0.14	0.09	201	22	0.6	142	4.2	102	10.8	5.5	5.6	3.5	1.7	89	48	214	1
aspirin	29 day	High	772	14.8	43.4	56.1	19.2	34.2	2.4	84.5	126.4	21	1	0	3	74	16	28.2	221	770	58	160	142	0.14	0.08	236	16	0.5	141	4.1	103	10	6.8	5.1	3.3	1.8	82	38	159	1
aspirin	29 day	High	693	15.1	42.8	61.8	21.8	35.2	4.5	84.9	156.9	15	1	0	2	81	13.1	23.1	169	680	61	180	153	0.16	0.1	190	19	0.5	140	4	101	10.6	7.4	5.2	3.4	1.9	67	33	141	1
aspirin	29 day	High	791	14.9	42.7	54	18.8	34.9	2.8	76.3	114.1	17	1	0	3	79	13.5	21.3	186	913	62	123	152	0.16	0.1	197	18	0.5	142	4	103	10	6.5	5	3.4	2.1	107	45	172	0
allopurinol	4 day	Low	635	14.2	42.9	67.6	22.4	33.2	7.1	87.7	105	8	0	0	10	82	12.2	16.5	252	1214	86	223	196	0.32	0	214	19	0.5	138	5	104	11.1	8.5	6.2	4	1.8	69	38	100	2
allopurinol	4 day	Low	632	13.5	40.9	64.7	21.4	33.1	7.4	82.2	69	14	1	0	3	82	12.3	16.5	225	1176	77	79	149	0.32	0.01	174	21	0.6	142	4.9	102	11.5	7.6	6.3	3.9	1.6	75	33	94	2
allopurinol	4 day	Low	626	14.1	41.9	67	22.5	33.7	7.7	99.5	99.4	9	1	0	8	81	11.9	16.2	235	847	86	111	164	0.32	0	186	16	0.3	139	5.3	104	11.1	8.2	6	3.9	1.9	54	35	85	0
allopurinol	4 day	Low	641	13.3	40.1	62.5	20.8	33.3	7.3	105.7	119	15	1	0	4	79	12.1	16.9	221	1000	89	82	166	0.29	0	192	19	0.5	137	4.4	105	11.2	7.4	6	3.8	1.7	70	31	80	3
allopurinol	4 day	Low	698	14.4	43.3	62	20.6	33.2	5.4	80.8	77.3	11	1	0	5	82	12	16.3	213	1001	69	60	137	0.38	0	199	17	0.5	140	4.4	103	11.5	10.1	6	4	2	69	30	67	1
allopurinol	8 day	Low	714	15.4	46.8	65.6	21.6	32.9	4.5	109.9	66.1	11	2	0	3	85	11.6	17.9	230	769	70	43	139	0.39	0	202	22	0.5	137	4.7	106	11	7.8	6	4.2	2.3	56	23	104	2
allopurinol	8 day	Low	758	15.4	46.7	61.6	20.3	33	4.4	118.2	104	18	1	0	4	77	11.6	16.8	259	692	95	93	174	0.16	0	173	22	0.7	135	4.5	102	11.2	8.7	6.7	4.5	2.1	52	32	76	4
allopurinol	8 day	Low	649	14	41.9	64.6	21.6	33.4	5.1	117	87.9	14	1	0	1	84	11.8	16.4	257	816	95	123	167	0.2	0.03	206	25	0.7	141	4.1	105	11.6	9.1	6.5	4.2	1.8	54	24	198	2
allopurinol	8 day	Low	700	14.7	43.9	62.7	21	33.5	5.2	110.4	137	14	0	0	5	80	11.5	16.4	266	629	80	130	168	0.35	0.02	190	24	0.5	137	4.8	105	11.5	8.7	6.3	4.2	2	52	18	78	2
allopurinol	8 day	Low	690	14.5	43.5	63	21	33.3	4	107.5	148	6	1	0	4	90	12.7	16.2	221	859	66	37	132	0.33	0.01	192	15	0.5	139	4.4	104	11.1	8.8	5.6	3.7	2	69	29	72	2
allopurinol	15 day	Low	770	15.1	46.1	59.9	19.6	32.8	3.7	111.4	70.4	14	1	0	6	80	11.7	17	248	705	59	136	133	0.29	0	197	19	0.6	141	4.4	104	10.5	6.8	6.4	3.9	1.6	55	26	74	1
allopurinol	15 day	Low	727	14.7	44	60.5	20.3	33.5	5.7	114.7	118	14	0	0	4	81	11.7	16.8	233	1041	77	289	190	0.17	0	174	20	0.6	137	4.6	107	10.8	6.9	6.5	3.9	1.5	60	31	93	2
allopurinol	15 day	Low	731	14.6	44	60.2	20	33.2	4.5	120.5	83.4	17	1	0	9	73	11.6	16.7	243	774	74	181	163	0.21	0	170	21	0.6	139	4.2	108	10.8	8.1	6.2	4.1	2	54	26	54	3
allopurinol	15 day	Low	678	14.5	44.1	65	21.3	32.8	4.3	101.5	120	12	1	0	3	84	12	16.4	241	853	72	76	154	0.33	0	196	19	0.6	139	4.2	107	10.8	6.6	6	3.7	1.6	56	27	78	2
allopurinol	15 day	Low	664	14.1	41.7	62.8	21.2	33.7	4	111.3	143	10	1	0	2	87	11.7	17.2	249	743	67	126	153	0.16	0	190	18	0.6	138	4.4	103	11.1	8.9	6	3.8	1.7	59	26	75	2
allopurinol	29 day	Low	743	14.9	44.3	59.6	20	33.6	3	129.2	174	17	1	0	5	76	12	17.2	228	584	66	186	145	0.22	0	214	22	0.6	138	5.2	105	11	6.2	6.8	4.1	1.5	64	32	85	2
allopurinol	29 day	Low	796	15.8	45.9	57.6	19.8	34.4	2.2	103.3	136	10	1	0	3	86	12.3	16.4	217	575	70	156	144	0.38	0.04	185	19	0.5	140	4.3	108	10.4	6.2	6.3	3.8	1.5	59	26	80	3
allopurinol	29 day	Low	806	15.3	45.2	56.1	19	33.9	2	97.9	175	15	1	0	2	82	11.9	16.4	221	448	63	86	134	0.06	0	181	18	0.5	140	4.2	106	10.9	7.4	6.4	4.2	1.9	56	34	65	3
allopurinol	29 day	Low	807	15.5	47.5	58.8	19.2	32.6	2.9	85.9	188	8	1	0	2	89	11.9	15.3	222	466	79	209	187	0.3	0.02	181	21	0.6	141	5.7	105	11.4	8.1	6.8	4.2	1.6	62	32	86	3
allopurinol	29 day	Low	827	15.7	47.2	57	19	33.3	2	110.1	162	12	1	0	2	86	12.4	17.8	241	556	72	166	157	0.36	0.01	181	23	0.6	139	4.4	107	11.1	6.5	6.9	4.3	1.7	55	23	56	3
allopurinol	4 day	Middle	653	13.8	41.2	63.1	21.2	33.6	4.4	69.2	155	13	2	0	5	81	12.3	15.9	286	968	74	113	142	0.26	0	196	23	0.6	137	5	104	11.2	5.8	6.2	3.9	1.7	66	31	82	2
allopurinol	4 day	Middle	637	13.9	41.4	64.9	21.9	33.7	6.5	111.6	81.6	12	1	0	23	63	12	15.8	257	706	80	125	161	0.34	0	198	20	0.5	139	4.7	107	11.3	6.9	6.1	4	1.9	73	34	226	2
allopurinol	4 day	Middle	620	13.3	39.2	63.3	21.4	33.8	7.1	133.5	145	20	2	0	12	67	12.4	16.1	237	938	69	111	135	0.34	0	198	19	0.5	138	4.9	106	10.9	7.4	6.1	3.9	1.8	64	32	85	1
allopurinol	4 day	Middle	602	13.3	39.6	65.8	22	33.5	6.9	121	135	17	1	0	4	77	12.7	17.2	254	1192	84	106	160	0.39	0.01	193	21	0.5	140	4.8	104	11.4	7.8	6	3.9	1.9	61	35	81	1
allopurinol	4 day	Middle	578	13.2	38.8	67.2	22.9	34	6.4	108.2	179	10	1	0	2	87	12.2	16	274	786	90	73	152	0.31	0.01	187	20	0.6	137	4.3	103	10.9	7	6	3.6	1.5	65	37	83	4
allopurinol	8 day	Middle	671	14.6	43.4	64.7	21.7	33.6	4.8	119	134	10	1	0	4	86	12.2	16	220	699	68	83	132	0.24	0	223	19	0.6	138	4.3	106	11	7.3	6.1	4.1	2.1	66	41	112	2
allopurinol	8 day	Middle	663	14.4	42.6	64.2	21.8	33.9	4.8	128	118	8	0	0	2	89	11.7	16.8	249	1249	71	214	164	0.19	0	183	22	0.5	140	4.3	107	11.5	6.6	6.2	3.8	1.6	68	39	94	1
allopurinol	8 day	Middle	649	14.2	42.4	65.4	21.8	33.4	6.1	134.1	139	7	0	0	5	87	11.5	16.6	244	951	92	258	196	0.27	0	200	21	0.5	139	4.5	107	11.4	7.6	6.4	4.1	1.8	59	27	75	0
allopurinol	8 day	Middle	671	13.9	41.8	62.3	20.7	33.3	6.2	108.7	104	11	1	0	4	85	11.8	16.1	270	810	77	88	162	0.39	0.07	211	22	0.6	141	4.1	107	11.3	7.3	6	3.9	1.9	64	33	76	2
allopurinol	8 day	Middle	652	13.8	41.1	63.1	21.2	33.6	4.6	110.4	152	11	0	0	4	85	11.9	16.7	247	879	64	79	137	0.23	0.1	219	17	0.5	143	4.2	107	11.6	9.3	5.8	3.8	1.9	63	27	78	1
allopurinol	15 day	Middle	707	14.3	43.2	61	20.2	33.2	4.6	109.4	87.1	16	0	0	2	81	11.9	16.7	263	703	58	139	134	0.28	0	192	20	0.6	138	4.5	107	10.5	6.7	6.2	3.8	1.6	71	30	96	1
allopurinol	15 day	Middle	701	14.6	43.8	62.4	20.8	33.4	3.8	89.2	101	12	1	0	2	86	12	15.9	226	586	68	199	155	0.13	0	188	24	0.6	140	5.1	109	10.7	6.5	6.3	3.7	1.4	62	27	52	2
allopurinol	15 day	Middle	711	14.9	44.4	62.4	21	33.6	4.6	115.7	112	15	1	0	6	79	11.8	16.7	240	683	67	142	153	0.36	0	188	18	0.5	139	4.4	108	11.2	8.2	6.2	3.8	1.6	59	27	61	1
allopurinol	15 day	Middle	686	15	44.4	64.7	21.8	33.7	3.9	131.9	178	6	0	0	3	91	11.7	17	221	578	71	90	150	0.36	0.01	207	20	0.6	139	4.7	106	11	7.7	5.9	3.6	1.6	55	31	75	1
allopurinol	15 day	Middle	775	15.5	47	60.6	20	33.1	4.2	111.8	91.8	12	1	0	5	83	12.1	16.4	211	676	65	86	145	0.31	0	225	19	0.6	142	3.9	107	10.6	8.2	6.2	3.9	1.7	68	34	72	3
allopurinol	29 day	Middle	744	15.3	43.7	58.7	20.5	34.9	3.6	110.5	131	19	1	0	4	76	11.9	15.4	225	743	75	162	156	0.37	0	171	25	0.6	138	5	107	10.8	5.6	6.4	4	1.7	61	24	81	1
allopurinol	29 day	Middle	774	15.6	46.3	59.9	20.2	33.8	2.8	105	130	8	1	0	4	88	12.1	16.3	238	383	59	146	130	0.3	0.01	181	22	0.6	139	4.6	108	10.9	5.6	6.5	4	1.6	52	20	37	2
